1, 11.3786, -3.6735, 22.3921, 95.5013, 46.1933, -52.8913, 41
2, -8.7409, -5.9081, 22.1160, 107.6437, 53.6513, 44.3441, 41
3, 15.5576, -10.0777, 25.1864, 135.3442, -3.6788, -4.0932, 41
4, -9.5940, -13.1647, 25.3280, 55.1722, 8.0295, 11.5148, 41
5, 14.8035, -10.6202, 32.1456, -86.0405, 48.0512, 46.6272, 41
6, -9.4338, -13.2922, 34.6033, -18.8411, 82.6418, -18.1201, 41
7, 2.7306, -16.8202, 37.1642, -68.8461, -76.6222, -16.7522, 41
1, 11.3284, -3.6735, 22.3876, 95.8851, 46.2569, -52.5849, 77
2, -8.7994, -5.9305, 22.1036, 108.0310, 53.6914, 44.6150, 77
3, 15.5473, -10.0575, 25.1769, 135.6376, -3.7369, -4.1086, 77
4, -9.6205, -13.1925, 25.3149, 55.3481, 8.0724, 11.6635, 77
5, 14.7968, -10.6101, 32.1372, -85.6551, 48.1776, 46.7434, 77
6, -9.4399, -13.3437, 34.5954, -17.9115, 82.7648, -17.3220, 77
7, 2.7338, -16.8333, 37.1470, -68.9977, -76.4855, -16.3384, 77
1, 11.2865, -3.6786, 22.3758, 95.8532, 46.4021, -52.8617, 103
2, -8.8586, -5.9610, 22.0949, 108.5685, 53.7503, 45.0971, 103
3, 15.5285, -10.0276, 25.1785, 136.0051, -3.7827, -4.1058, 103
4, -9.6542, -13.2187, 25.3042, 55.4912, 8.1233, 11.8896, 103
5, 14.7687, -10.5806, 32.1415, -85.6113, 48.0842, 46.6866, 103
6, -9.4457, -13.3860, 34.5839, -17.2548, 82.8947, -16.7805, 103
7, 2.7489, -16.8370, 37.1297, -68.9230, -76.3248, -16.0600, 103
1, 11.2645, -3.6801, 22.3631, 95.7350, 46.5422, -53.1421, 144
2, -8.8831, -5.9739, 22.0884, 108.8211, 53.8128, 45.3609, 144
3, 15.5048, -10.0119, 25.1849, 136.1975, -3.8527, -4.0458, 144
4, -9.6637, -13.2249, 25.3010, 55.5589, 8.1865, 12.0207, 144
5, 14.7695, -10.5522, 32.1404, -85.5099, 48.0313, 46.6201, 144
6, -9.4485, -13.3654, 34.5854, -18.0510, 82.9233, -17.6143, 144
7, 2.7762, -16.7930, 37.1343, -68.4086, -76.3686, -16.3775, 144
1, 11.2259, -3.6968, 22.3514, 95.5696, 46.6677, -53.4883, 174
2, -8.9078, -5.9988, 22.0702, 109.1457, 53.9465, 45.5049, 174
3, 15.4791, -10.0057, 25.1858, 136.3792, -3.7970, -3.9764, 174
4, -9.6718, -13.2491, 25.2833, 55.6370, 8.1982, 12.1530, 174
5, 14.7376, -10.5513, 32.1448, -85.2363, 48.1312, 46.7678, 174
6, -9.4577, -13.3875, 34.5706, -17.7555, 82.8916, -17.4785, 174
7, 2.7571, -16.7649, 37.1373, -68.3437, -76.4058, -16.2263, 174
1, 11.1808, -3.7196, 22.3500, 95.5694, 46.8153, -53.5502, 208
2, -8.9180, -6.0266, 22.0453, 109.0739, 54.1209, 45.2598, 208
3, 15.4492, -10.0113, 25.1920, 136.4326, -3.8555, -3.8716, 208
4, -9.6762, -13.2739, 25.2625, 55.6826, 8.1376, 12.1860, 208
